"latitude","longitude","address","neighborhood"
"39.14751085","-86.58225969","1933 S Curry PIKE","unknown"
"39.1479251","-86.58218271","1929 S Curry PIKE","unknown"
"39.14896775","-86.58202722","1833 S Curry PIKE","unknown"
"39.14834121","-86.58317762","1930 S Curry PIKE","unknown"
"39.14862359","-86.58308042","1920 S Curry PIKE","unknown"
"39.14902385","-86.5829436","1900 S Curry PIKE","unknown"
"39.14934779","-86.58293425","1850 S Curry PIKE","unknown"
"39.17324232","-86.49098193","986 N Woodbridge DR","unknown"
"39.14901434","-86.58328569","4001 W Beasley DR","unknown"
"39.14903669","-86.58337721","4003 W Beasley DR","unknown"
"39.14903299","-86.58379332","4013 W Beasley DR","unknown"
"39.14902901","-86.58414595","4021 W Beasley DR","unknown"
"39.14904031","-86.58421992","4023 W Beasley DR","unknown"
"39.14935501","-86.58461967","4034 W Beasley DR","unknown"
"39.14936296","-86.58455262","4032 W Beasley DR","unknown"
"39.14934789","-86.5842389","4024 W Beasley DR","unknown"
"39.14936108","-86.58411187","4022 W Beasley DR","unknown"
"39.1493543","-86.5838122","4014 W Beasley DR","unknown"
"39.17327254","-86.4909852","984 N Woodbridge DR","unknown"
"39.14935383","-86.5837029","4012 W Beasley DR","unknown"
"39.1496243","-86.58019957","1999 S Yost AVE","unknown"
"39.1496695","-86.58113014","1920 S Yost AVE","unknown"
"39.14950158","-86.58230552","1829 S Curry PIKE","unknown"
"39.14985585","-86.58296592","1818 S Curry PIKE","unknown"
"39.15024019","-86.58295614","1810 S Curry PIKE","unknown"
"39.1501954","-86.58211724","1805 S Curry PIKE","unknown"
"39.15217725","-86.5820115","1625 S Curry PIKE","unknown"
"39.15200015","-86.58296836","1624 S Curry PIKE","unknown"
"39.15202764","-86.57978752","3800 W Constitution AVE","unknown"
"39.17336323","-86.49100208","980 N Woodbridge DR","unknown"
"39.15425276","-86.60910424","825 S Kirby RD","unknown"
"39.15892264","-86.61149151","710 S Kirby RD","unknown"
"39.159154","-86.61094","770 S Kirby RD","unknown"
"39.15938342","-86.61002137","691 S Kirby RD","unknown"
"39.15944221","-86.61097668","690 S Kirby RD","unknown"
"39.1596893","-86.61097503","670 S Kirby RD","unknown"
"39.16021362","-86.61095389","630 S Kirby RD","unknown"
"39.16050204","-86.61098723","570 S Kirby RD","unknown"
"39.16080665","-86.61094992","550 S Kirby RD","unknown"
"39.16105403","-86.6110188","530 S Kirby RD","unknown"
"39.17339621","-86.49100886","978 N Woodbridge DR","unknown"
"39.16070696","-86.6100654","555 S Kirby RD","unknown"
"39.16137997","-86.61014906","445 S Kirby RD","unknown"
"39.16179489","-86.61023445","399 S Kirby RD","unknown"
"39.16317908","-86.61101517","290 S Kirby RD","unknown"
"39.16290745","-86.61105931","330 S Kirby RD","unknown"
"39.16285166","-86.60949028","355 S Kirby RD","unknown"
"39.16459212","-86.61623603","6375 W State Road 48","unknown"
"39.15641184","-86.61115916","930 S Kirby RD","unknown"
"39.15101984","-86.60920291","5821 W Gifford RD","unknown"
"39.15110615","-86.60882151","5791 W Gifford RD","unknown"
"39.17344285","-86.49100141","976 N Woodbridge DR","unknown"
"39.151066","-86.608427","5760 W Gifford RD","unknown"
"39.15163887","-86.60951612","5940 W Gifford RD","unknown"
"39.15100791","-86.6062798","5681 W Gifford RD","unknown"
"39.15100654","-86.60594483","5675 W Gifford RD","unknown"
"39.15099388","-86.60553588","5621 W Gifford RD","unknown"
"39.15101729","-86.60521836","5401 W Gifford RD","unknown"
"39.15028435","-86.6039116","5225 W Gifford RD","unknown"
"39.152191","-86.603472","5130 W Gifford RD","unknown"
"39.151647","-86.602732","5126 W Gifford RD","unknown"
"39.15180178","-86.60170448","5080 W Gifford RD","unknown"
"39.17307682","-86.49137131","700 N Woodbridge DR","unknown"
"39.15046815","-86.60991889","1675 S Kirby RD","unknown"
"39.15019909","-86.6099207","1691 S Kirby RD","unknown"
"39.14556","-86.630128","2212 S Cave RD","unknown"
"39.14447598","-86.62679139","6870 W Matthews RD","unknown"
"39.14448237","-86.62562077","6820 W Matthews RD","unknown"
"39.14450519","-86.62513759","6810 W Matthews RD","unknown"
"39.13832989","-86.61739324","6300 W Airport RD","unknown"
"39.13825579","-86.6105824","2970 S Kirby RD","unknown"
"39.13867263","-86.61046327","2950 S Kirby RD","unknown"
"39.14594223","-86.60827088","2175 S Kirby RD","unknown"
"39.17308529","-86.4914171","702 N Woodbridge DR","unknown"
"39.16339153","-86.46564362","4822 E Ridgewood DR","unknown"
"39.14624263","-86.60989784","2125 S Kirby RD","unknown"
"39.14633934","-86.61072578","2130 S Kirby RD","unknown"
"39.14721734","-86.60990541","2035 S Kirby RD","unknown"
"39.14752209","-86.60990337","2015 S Kirby RD","unknown"
"39.14780756","-86.60988735","1965 S Kirby RD","unknown"
"39.14856277","-86.60993166","1891 S Kirby RD","unknown"
"39.14885914","-86.60989441","1855 S Kirby RD","unknown"
"39.14953738","-86.60991455","1775 S Kirby RD","unknown"
"39.14975422","-86.60989899","1755 S Kirby RD","unknown"
"39.15162117","-86.60118384","5076 W Gifford RD","unknown"
"39.17310232","-86.4915263","706 N Woodbridge DR","unknown"
"39.15152514","-86.59921335","5050 W Gifford RD","unknown"
"39.15201812","-86.59562734","4674 W Gifford RD","unknown"
"39.15108433","-86.59293979","4595 W Gifford RD","unknown"
"39.1503845","-86.59496865","4685 W Gifford RD","unknown"
"39.15428713","-86.59198309","4420 W Gifford RD","unknown"
"39.154153","-86.591434","4394 W Gifford RD","unknown"
"39.15368249","-86.59118682","4433 W Gifford RD","unknown"
"39.154151","-86.58965666","4378 W Gifford RD","unknown"
"39.1291645","-86.61860634","3710 S Westmont AVE","unknown"
"39.12940476","-86.61895726","3716 S Westmont AVE","unknown"
"39.17308901","-86.49160754","708 N Woodbridge DR","unknown"
"39.12865162","-86.61874366","3725 S Westmont AVE","unknown"
"39.12900204","-86.61917846","3720 S Westmont AVE","unknown"
"39.12878614","-86.61943016","3726 S Westmont AVE","unknown"
"39.12857579","-86.61969592","3730 S Westmont AVE","unknown"
"39.1283106","-86.61997966","3736 S Westmont AVE","unknown"
"39.12812229","-86.62026642","3740 S Westmont AVE","unknown"
"39.12781006","-86.62045882","3750 S Westmont AVE","unknown"
"39.12861943","-86.61824331","3448 S Walter AVE","unknown"
"39.12773988","-86.61731497","3735 S Eastmont AVE","unknown"
"39.1277413","-86.61698361","3731 S Eastmont AVE","unknown"
"39.1731032","-86.49169913","712 N Woodbridge DR","unknown"
"39.12794534","-86.61857557","3748 S Eastmont AVE","unknown"
"39.12761761","-86.61832393","3753 S Eastmont AVE","unknown"
"39.1271927","-86.61917624","3764 S Eastmont AVE","unknown"
"39.12669339","-86.61927469","3800 S Eastmont AVE","unknown"
"39.126504","-86.618447","3839 S Eastmont AVE","unknown"
"39.12635473","-86.61903369","3820 S Eastmont AVE","unknown"
"39.12577455","-86.6201972","3810 S Westmont AVE","unknown"
"39.12609693","-86.61979677","3811 S Westmont AVE","unknown"
"39.12575217","-86.61940424","3821 S Westmont AVE","unknown"
"39.12547948","-86.61918396","3841 S Westmont AVE","unknown"
"39.17310621","-86.49175201","714 N Woodbridge DR","unknown"
"39.12521237","-86.61898479","3861 S Westmont AVE","unknown"
"39.12549222","-86.61824625","3850 S Eastmont AVE","unknown"
"39.12520032","-86.61802963","3860 S Eastmont AVE","unknown"
"39.12571782","-86.61767374","3885 S Eastmont AVE","unknown"
"39.12547274","-86.61749205","3899 S Eastmont AVE","unknown"
"39.12599256","-86.61703392","3870 S Walter AVE","unknown"
"39.12677276","-86.61783246","3798 S Walter AVE","unknown"
"39.12712519","-86.61808394","3778 S Walter AVE","unknown"
"39.12708667","-86.61737567","3775 S Walter AVE","unknown"
"39.12648826","-86.61672045","3887 S Walter AVE","unknown"
"39.17314239","-86.49184694","718 N Woodbridge DR","unknown"
"39.12680687","-86.61675008","3877 S Walter AVE","unknown"
"39.12707086","-86.61685408","3867 S Walter AVE","unknown"
"39.12689981","-86.6159634","3802 S Valmore AVE","unknown"
"39.12659797","-86.61600769","3804 S Valmore AVE","unknown"
"39.12629349","-86.61607668","3806 S Valmore AVE","unknown"
"39.12653527","-86.61543354","3805 S Valmore AVE","unknown"
"39.12591811","-86.61558214","3809 S Valmore AVE","unknown"
"39.12606936","-86.61632843","3808 S Valmore AVE","unknown"
"39.12533327","-86.61625926","3885 S Valmore AVE","unknown"
"39.12517001","-86.61662693","3889 S Valmore AVE","unknown"
"39.17315934","-86.49194204","722 N Woodbridge DR","unknown"
"39.12535675","-86.61526862","3935 S Walter AVE","unknown"
"39.12512415","-86.6154605","3900 S Walter AVE","unknown"
"39.17316862","-86.49214654","724 N Woodbridge DR","unknown"
"39.12434276","-86.61917027","3900 S Westmont AVE","unknown"
"39.12459573","-86.61857644","3891 S Westmont AVE","unknown"
"39.12465604","-86.61786402","3870 S Eastmont AVE","unknown"
"39.17321533","-86.4921532","726 N Woodbridge DR","unknown"
"39.12435112","-86.61782373","3890 S Eastmont AVE","unknown"
"39.12433466","-86.61714002","3945 S Eastmont AVE","unknown"
"39.12504014","-86.61573599","3920 S Walter AVE","unknown"
"39.12394753","-86.61713904","3955 S Eastmont AVE","unknown"
"39.12371461","-86.61794071","3950 S Eastmont AVE","unknown"
"39.12335824","-86.61739319","3975 S Eastmont AVE","unknown"
"39.1232821","-86.61757698","3989 S Eastmont AVE","unknown"
"39.12313975","-86.61837099","3999 S Eastmont AVE","unknown"
"39.12363354","-86.61826553","3990 S Eastmont AVE","unknown"
"39.12398294","-86.61913386","3910 S Westmont AVE","unknown"
"39.17328669","-86.49214908","730 N Woodbridge DR","unknown"
"39.12370626","-86.61929077","4002 S Eastmont AVE","unknown"
